role_title,software_or_tool,software_category,hot_technology,in_demand
Business Intelligence Analysts,Amazon Web Services AWS software,Data base user interface and query software,Y,Y
Business Intelligence Analysts,Microsoft Azure software,Development environment software,Y,Y
Business Intelligence Analysts,Microsoft Excel,Spreadsheet software,Y,Y
Business Intelligence Analysts,Microsoft Office software,Office suite software,Y,Y
Business Intelligence Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y
Business Intelligence Analysts,Microsoft PowerPoint,Presentation software,Y,Y
Business Intelligence Analysts,Python,Object or component oriented development software,Y,Y
Business Intelligence Analysts,R,Object or component oriented development software,Y,Y
Business Intelligence Analysts,SAP software,Enterprise resource planning ERP software,Y,Y
Business Intelligence Analysts,SAS,Analytical or scientific software,Y,Y
Business Intelligence Analysts,Salesforce software,Customer relationship management CRM software,Y,Y
Business Intelligence Analysts,Snowflake,Data mining software,Y,Y
Business Intelligence Analysts,Structured query language SQL,Data base user interface and query software,Y,Y
Business Intelligence Analysts,Tableau,Business intelligence and data analysis software,Y,Y
Business Intelligence Analysts,AJAX,Web platform development software,Y,N
Business Intelligence Analysts,Adobe Acrobat,Document management software,Y,N
Business Intelligence Analysts,Alteryx software,Business intelligence and data analysis software,Y,N
Business Intelligence Analysts,Amazon DynamoDB,Data base management system software,Y,N
Business Intelligence Analysts,Amazon Elastic Compute Cloud EC2,Data base user interface and query software,Y,N
Business Intelligence Analysts,Amazon Redshift,Data base user interface and query software,Y,N
Business Intelligence Analysts,Apache Cassandra,Data base management system software,Y,N
Business Intelligence Analysts,Apache Hadoop,Data base management system software,Y,N
Business Intelligence Analysts,Apache Hive,Data base management system software,Y,N
Business Intelligence Analysts,Apache Kafka,Development environment software,Y,N
Business Intelligence Analysts,Apache Spark,Business intelligence and data analysis software,Y,N
Business Intelligence Analysts,Apache Tomcat,Web platform development software,Y,N
Business Intelligence Analysts,Atlassian Confluence,Project management software,Y,N
Business Intelligence Analysts,Atlassian JIRA,Content workflow software,Y,N
Business Intelligence Analysts,Bash,Operating system software,Y,N
Business Intelligence Analysts,C,Development environment software,Y,N
Business Intelligence Analysts,C#,Object or component oriented development software,Y,N
Business Intelligence Analysts,C++,Object or component oriented development software,Y,N
Business Intelligence Analysts,Django,Web platform development software,Y,N
Business Intelligence Analysts,ESRI ArcGIS software,Geographic information system,Y,N
Business Intelligence Analysts,Eclipse IDE,Development environment software,Y,N
Business Intelligence Analysts,Elasticsearch,Data base management system software,Y,N
Business Intelligence Analysts,Epic Systems,Medical software,Y,N
Business Intelligence Analysts,Extensible markup language XML,Enterprise application integration software,Y,N
Business Intelligence Analysts,Facebook,Web page creation and editing software,Y,N
Business Intelligence Analysts,Git,File versioning software,Y,N
Business Intelligence Analysts,GitHub,Application server software,Y,N
Business Intelligence Analysts,Go,Development environment software,Y,N
Business Intelligence Analysts,Google Analytics,Data mining software,Y,N
Business Intelligence Analysts,Google Docs,Word processing software,Y,N
Business Intelligence Analysts,Google Looker Analytics,Business intelligence and data analysis software,Y,N
Business Intelligence Analysts,Hibernate ORM,Object oriented data base management software,Y,N
Business Intelligence Analysts,Hypertext markup language HTML,Web platform development software,Y,N
