role_name,skill_name,importance_score,level_score,evidence_label
Business Intelligence Analysts,Reading Comprehension,4.00,4.25,O*NET essential skills
Business Intelligence Analysts,Active Learning,3.88,4.12,O*NET essential skills
Business Intelligence Analysts,Active Listening,3.88,4.00,O*NET essential skills
Business Intelligence Analysts,Critical Thinking,3.88,4.25,O*NET essential skills
Business Intelligence Analysts,Speaking,3.88,4.00,O*NET essential skills
Business Intelligence Analysts,Writing,3.75,4.00,O*NET essential skills
Business Intelligence Analysts,Mathematics,3.50,3.88,O*NET essential skills
Business Intelligence Analysts,Monitoring,3.12,3.25,O*NET essential skills
Business Intelligence Analysts,Learning Strategies,3.00,3.00,O*NET essential skills
Business Intelligence Analysts,Science,1.62,0.75,O*NET essential skills
Data Scientists,Mathematics,4.38,5.00,O*NET essential skills
Data Scientists,Critical Thinking,4.25,4.62,O*NET essential skills
Data Scientists,Reading Comprehension,3.88,4.62,O*NET essential skills
Data Scientists,Active Learning,3.62,4.38,O*NET essential skills
Data Scientists,Speaking,3.62,3.75,O*NET essential skills
Data Scientists,Active Listening,3.50,3.75,O*NET essential skills
Data Scientists,Writing,3.50,4.12,O*NET essential skills
Data Scientists,Monitoring,3.25,3.62,O*NET essential skills
Data Scientists,Learning Strategies,2.75,3.00,O*NET essential skills
Data Scientists,Science,2.50,2.12,O*NET essential skills
Software Developers,Critical Thinking,3.88,4.12,O*NET essential skills
Software Developers,Active Learning,3.50,3.62,O*NET essential skills
Software Developers,Reading Comprehension,3.50,4.25,O*NET essential skills
Software Developers,Active Listening,3.38,3.88,O*NET essential skills
Software Developers,Writing,3.25,3.62,O*NET essential skills
Software Developers,Speaking,3.12,3.62,O*NET essential skills
Software Developers,Monitoring,3.00,3.50,O*NET essential skills
Software Developers,Mathematics,2.75,3.25,O*NET essential skills
Software Developers,Learning Strategies,2.62,3.12,O*NET essential skills
Software Developers,Science,2.12,1.88,O*NET essential skills
