O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
15-1252.00,Software Developers,2.A.1.a,Reading Comprehension,IM,Importance,3.50,8,0.1890,3.1296,3.8704,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.a,Reading Comprehension,LV,Level,4.25,8,0.2500,3.7600,4.7400,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.b,Active Listening,IM,Importance,3.38,8,0.1830,3.0164,3.7336,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.b,Active Listening,LV,Level,3.88,8,0.2266,3.4309,4.3191,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.c,Writing,IM,Importance,3.25,8,0.1637,2.9292,3.5708,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.c,Writing,LV,Level,3.62,8,0.1830,3.2664,3.9836,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.d,Speaking,IM,Importance,3.12,8,0.1250,2.8800,3.3700,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.d,Speaking,LV,Level,3.62,8,0.1830,3.2664,3.9836,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.e,Mathematics,IM,Importance,2.75,8,0.2500,2.2600,3.2400,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.e,Mathematics,LV,Level,3.25,8,0.3134,2.6358,3.8642,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.f,Science,IM,Importance,2.12,8,0.3981,1.3447,2.9053,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.1.f,Science,LV,Level,1.88,8,0.6105,0.6783,3.0717,Y,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.a,Critical Thinking,IM,Importance,3.88,8,0.2266,3.4309,4.3191,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.a,Critical Thinking,LV,Level,4.12,8,0.2266,3.6809,4.5691,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.b,Active Learning,IM,Importance,3.50,8,0.1890,3.1296,3.8704,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.b,Active Learning,LV,Level,3.62,8,0.2631,3.1094,4.1406,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.c,Learning Strategies,IM,Importance,2.62,8,0.1830,2.2664,2.9836,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.c,Learning Strategies,LV,Level,3.12,8,0.1250,2.8800,3.3700,N,N,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.d,Monitoring,IM,Importance,3.00,8,0.0000,3.0000,3.0000,N,,08/2025,Analyst
15-1252.00,Software Developers,2.A.2.d,Monitoring,LV,Level,3.50,8,0.1890,3.1296,3.8704,N,N,08/2025,Analyst
15-2051.00,Data Scientists,2.A.1.a,Reading Comprehension,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst
