O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand
15-1252.00,Software Developers,3M Post-it App,2.E.4.d,Word processing software,N,N
15-1252.00,Software Developers,A programming language APL,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,ABC Compiler,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,ABC: the AspectBench Compiler for AspectJ,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Ada,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,ADO.NET,2.E.6.f,Data base user interface and query software,N,N
15-1252.00,Software Developers,Adobe Acrobat,2.E.5.b,Document management software,Y,N
15-1252.00,Software Developers,Adobe ActionScript,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Adobe After Effects,2.E.4.c,Video creation and editing software,Y,N
15-1252.00,Software Developers,Adobe Creative Cloud software,2.E.4.b,Graphics or photo imaging software,Y,N
15-1252.00,Software Developers,Adobe Dreamweaver,2.E.4.g,Web page creation and editing software,N,N
15-1252.00,Software Developers,Adobe Flex,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Adobe Illustrator,2.E.4.b,Graphics or photo imaging software,Y,N
15-1252.00,Software Developers,Adobe InDesign,2.E.4.k,Desktop publishing software,Y,N
15-1252.00,Software Developers,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N
15-1252.00,Software Developers,Advanced business application programming ABAP,2.E.7.e,Object or component oriented development software,N,N
15-1252.00,Software Developers,Airtable,2.E.6.f,Data base user interface and query software,N,N
15-1252.00,Software Developers,AJAX,2.E.7.h,Web platform development software,Y,N
15-1252.00,Software Developers,Algorithmic language ALGOL,2.E.7.b,Development environment software,N,N
15-1252.00,Software Developers,Allaire ColdFusion,2.E.7.h,Web platform development software,N,N
15-1252.00,Software Developers,Alteryx software,2.E.6.m,Business intelligence and data analysis software,Y,N
15-1252.00,Software Developers,Amazon DynamoDB,2.E.6.d,Data base management system software,Y,N
15-1252.00,Software Developers,Amazon Elastic Compute Cloud EC2,2.E.6.f,Data base user interface and query software,Y,N
15-1252.00,Software Developers,Amazon Kinesis,2.E.6.d,Data base management system software,N,N
15-1252.00,Software Developers,Amazon Redshift,2.E.6.f,Data base user interface and query software,Y,N
