O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
15-1252.00,Software Developers,21662,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21669,"Develop or direct software system testing or validation procedures, programming, or documentation.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21664,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21670,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21673,"Prepare reports or correspondence concerning project specifications, activities, or status.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21661,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21676,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21667,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21668,Determine system performance standards.,Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21665,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21663,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,Core,72,08/2025,Incumbent
15-1252.00,Software Developers,21671,Monitor functioning of equipment to ensure system operates in conformance with specifications.,Supplemental,72,08/2025,Incumbent
15-1252.00,Software Developers,21666,Coordinate installation of software system.,Supplemental,72,08/2025,Incumbent
15-1252.00,Software Developers,21678,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",Supplemental,71,08/2025,Incumbent
15-1252.00,Software Developers,21677,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",Supplemental,72,08/2025,Incumbent
15-1252.00,Software Developers,21672,"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration.",Supplemental,72,08/2025,Incumbent
15-1252.00,Software Developers,21679,Train users to use new or modified equipment.,Supplemental,72,08/2025,Incumbent
15-2051.00,Data Scientists,21823,"Analyze, manipulate, or process large sets of data using statistical software.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21828,"Create graphs, charts, or other visualizations to convey the results of data analysis using specialized software.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21837,"Test, validate, and reformulate models to ensure accurate prediction of outcomes of interest.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21829,Deliver oral or written presentations of the results of mathematical modeling and data analysis to management or other end users.,Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21836,Recommend data-driven solutions to key stakeholders.,Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21831,Identify business problems or management objectives that can be addressed through data analysis.,Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21827,"Compare models using statistical performance metrics, such as loss functions or proportion of explained variance.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21826,Clean and manipulate raw data using statistical software.,Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21833,"Identify solutions to business problems, such as budgeting, staffing, and marketing decisions, using the results of data analysis.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21824,"Apply feature selection algorithms to models predicting outcomes of interest, such as sales, attrition, and healthcare use.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21832,Identify relationships and trends or any factors that could affect the results of research.,Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21838,Write new functions or applications in programming languages to conduct analyses.,Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21835,"Read scientific articles, conference papers, or other sources of research to identify emerging analytic trends and technologies.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21834,"Propose solutions in engineering, the sciences, and other fields using mathematical theories and techniques.",Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21825,Apply sampling techniques to determine groups to be surveyed or use complete enumeration methods.,Core,24,08/2026,Occupational Expert
15-2051.00,Data Scientists,21830,"Design surveys, opinion polls, or other instruments to collect data.",Supplemental,24,08/2026,Occupational Expert
15-2051.01,Business Intelligence Analysts,16150,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16139,"Maintain or update business intelligence tools, databases, dashboards, systems, or methods.",Core,22,08/2024,Occupational Expert
